interaction_id,customer_id,interaction_type,interaction_date,agent_name
1001,C001825,Email Support,2025-03-03,Emma
1002,C003658,Complaint,2024-06-08,Sophia
1003,C008936,Phone Call,2025-10-17,David
1004,C000489,Phone Call,2024-12-05,Emma
1005,C008280,Email Support,2024-11-04,Raj
1006,C008929,Product Enquiry,2024-12-08,Tom
1007,C009655,In-Store Visit,2024-01-11,Charlotte
1008,C002616,Product Enquiry,2025-06-12,James
1009,C002548,Live Chat,2025-06-06,Sarah
1010,C001520,Product Enquiry,2024-05-30,Priya
1011,C005636,In-Store Visit,2024-03-08,Raj
1012,C007528,Phone Call,2025-08-11,Sarah
1013,C009045,In-Store Visit,2025-07-15,Liam
1014,C003151,Phone Call,2024-03-12,Sophia
1015,C003734,In-Store Visit,2024-05-03,Daniel
1016,C003815,Phone Call,2025-08-13,James
1017,C007429,Refund Request,2024-09-09,Priya
1018,C005821,Live Chat,2025-02-18,Raj
1019,C001170,Complaint,2026-04-09,Raj
1020,C004011,Complaint,2025-12-19,Aisha
1021,C004423,Live Chat,2025-05-18,Daniel
1022,C000917,Live Chat,2024-02-19,Charlotte
1023,C005169,Product Enquiry,2025-02-19,Sarah
1024,C003457,Refund Request,2024-11-26,Sophia
1025,C008180,Product Enquiry,2025-12-13,Michael
1026,C004340,Complaint,2025-01-18,Raj
1027,C009198,In-Store Visit,2025-10-27,Fatima
1028,C009561,Product Enquiry,2025-07-16,Emma
1029,C002267,Technical Support,2024-05-21,Charlotte
1030,C000772,Phone Call,2024-08-25,Sophia
1031,C002622,Product Enquiry,2024-04-08,Aisha
1032,C006253,Technical Support,2026-04-01,James
1033,C009065,Email Support,2024-06-26,Sophia
1034,C008798,In-Store Visit,2025-06-12,Sarah
1035,C004809,Product Enquiry,2024-09-02,Tom
1036,C000054,In-Store Visit,2026-02-16,Charlotte
1037,C002928,Phone Call,2025-04-08,Daniel
1038,C008318,Live Chat,2024-08-25,Priya
1039,C002647,Email Support,2025-05-18,Tom
1040,C000320,Phone Call,2025-07-17,Fatima
1041,C005039,Live Chat,2024-03-30,Emma
1042,C009296,Phone Call,2024-05-13,Raj
1043,C007963,Phone Call,2026-04-07,Charlotte
1044,C002061,Complaint,2026-01-08,Grace
1045,C002706,In-Store Visit,2026-03-30,Daniel
1046,C009939,Product Enquiry,2024-11-25,Fatima
1047,C008836,Live Chat,2025-04-29,Aisha
1048,C006119,Technical Support,2026-03-15,Tom
1049,C001983,Live Chat,2024-12-15,Sarah
