warehouse_id,product_id,stock_received,stock_dispatched,inventory_date
WH009,P01154,403,175,2022-08-20
WH016,P01713,400,153,2024-06-12
WH001,P01493,334,133,2024-08-20
WH006,P01746,471,169,2022-05-04
WH001,P00726,360,200,2023-06-02
WH018,P00185,337,336,2023-04-19
WH015,P00112,422,256,2024-08-04
WH008,P00190,127,82,2024-12-21
WH015,P00832,183,4,2023-01-04
WH010,P01213,2,2,2023-09-12
WH007,P01938,442,418,2024-12-13
WH014,P01768,27,22,2024-09-29
WH006,P01190,73,73,2023-04-07
WH010,P00965,172,146,2023-07-17
WH020,P00470,77,77,2022-02-11
WH008,P00743,301,256,2024-07-11
WH017,P01275,316,95,2023-10-02
WH013,P00825,281,143,2023-05-11
WH018,P00427,300,150,2023-08-17
WH010,P01593,61,28,2024-07-14
WH019,P01532,391,325,2024-06-27
WH002,P00416,167,21,2022-01-11
WH016,P00375,374,106,2024-03-07
WH014,P00527,20,8,2022-08-02
WH015,P00507,234,7,2023-10-11
WH003,P00037,493,259,2024-07-31
WH007,P01886,234,43,2022-03-16
WH001,P01569,496,401,2023-08-23
WH018,P00392,43,30,2023-08-27
WH003,P01414,242,16,2022-03-06
WH005,P00892,287,164,2022-05-24
WH007,P00259,53,49,2023-11-04
WH013,P01254,329,169,2022-06-04
WH011,P00979,41,33,2023-09-20
WH008,P01435,307,54,2022-04-17
WH012,P00629,228,66,2024-05-15
WH016,P00249,213,103,2023-12-09
WH004,P01941,75,4,2022-02-18
WH001,P01368,64,58,2023-09-08
WH011,P01185,145,73,2023-03-22
WH009,P01787,414,54,2023-05-10
WH008,P01588,97,88,2022-11-06
WH001,P00434,0,0,2022-07-22
WH005,P00436,414,363,2024-07-12
WH004,P01602,322,85,2022-08-02
WH012,P00511,48,20,2023-03-03
WH013,P01113,341,8,2022-11-21
WH008,P01536,329,69,2024-03-03
WH009,P01580,305,224,2023-07-04
WH018,P01144,136,31,2024-11-05
WH018,P00484,144,33,2023-02-18
WH016,P01412,373,253,2024-09-13
WH001,P00071,236,233,2022-12-17
WH013,P01500,231,198,2024-01-31
WH011,P01911,166,153,2023-08-16
WH004,P01444,443,173,2022-12-20
WH018,P00971,91,48,2023-12-14
WH017,P01763,100,34,2023-08-05
WH010,P00192,189,76,2024-10-30
WH011,P00606,366,173,2022-08-08
WH020,P00492,210,3,2022-06-04
WH015,P01938,465,18,2023-01-08
WH011,P01567,336,47,2023-07-04
WH015,P01268,272,250,2023-10-27
WH002,P00001,139,74,2024-06-24
WH004,P00753,186,18,2024-09-08
WH008,P00236,332,13,2022-03-21
WH020,P01194,96,83,2024-12-30
WH016,P00442,349,172,2023-02-18
WH019,P00221,418,121,2022-11-14
WH018,P00429,206,112,2024-12-14
WH006,P01842,87,39,2023-12-08
WH016,P01893,355,120,2023-05-19
WH008,P00876,226,77,2024-09-20
WH001,P01916,342,156,2024-07-14
WH003,P00413,272,136,2022-03-12
WH009,P00526,101,94,2023-11-18
WH008,P00551,211,195,2024-11-05
WH014,P01258,25,20,2024-01-28
WH015,P00611,53,3,2024-02-14
WH018,P00563,408,389,2024-09-17
WH010,P00716,41,1,2022-11-13
WH004,P00718,266,205,2022-11-30
WH014,P01403,387,335,2023-11-04
WH016,P01741,105,41,2022-03-01
WH014,P00468,146,88,2023-12-09
WH017,P00969,272,54,2023-03-30
WH005,P00531,100,24,2024-05-26
WH008,P00508,191,42,2022-01-01
WH011,P00469,230,138,2024-02-18
WH008,P01923,92,25,2022-06-24
WH014,P00672,141,72,2022-07-03
WH020,P01933,364,213,2024-12-22
WH002,P00526,351,308,2024-06-11
WH002,P00954,63,40,2024-04-30
WH008,P01040,419,224,2023-04-15
WH012,P00348,408,309,2023-05-06
WH014,P00443,258,171,2022-10-22
WH011,P00738,239,54,2024-06-22
WH013,P00118,227,204,2022-09-23
WH005,P01564,169,16,2022-07-27
WH008,P01340,463,46,2024-06-12
WH005,P01721,32,15,2023-04-29
WH006,P00410,474,169,2024-01-14
WH014,P00451,418,153,2023-11-30
WH013,P00430,461,17,2022-06-16
WH017,P00175,329,223,2024-11-30
WH001,P00186,22,18,2022-06-30
WH017,P00367,470,29,2023-02-21
WH009,P01350,191,30,2024-12-18
WH014,P01707,278,227,2022-06-24
WH011,P00542,453,77,2023-05-19
WH015,P01477,420,204,2023-05-27
WH014,P01905,330,216,2023-09-13
WH019,P00280,466,299,2022-07-20
WH010,P01346,354,334,2022-12-12
WH019,P01155,333,83,2023-08-27
WH015,P01783,338,156,2023-07-07
WH012,P00377,415,64,2024-11-03
WH001,P00808,102,99,2023-09-19
WH019,P01997,128,107,2023-09-19
WH011,P01297,346,294,2024-11-10
WH001,P01363,365,230,2024-07-14
WH018,P01923,267,86,2024-06-21
WH019,P01670,34,26,2023-09-10
WH008,P01965,442,142,2022-12-31
WH018,P00912,210,139,2022-05-20
WH011,P01636,145,34,2023-12-12
WH007,P01883,265,152,2023-07-30
WH001,P00348,226,197,2024-02-15
WH020,P01720,481,10,2023-11-12
WH012,P00026,160,102,2022-10-31
WH015,P00219,210,205,2022-07-23
WH005,P00211,131,65,2024-05-06
WH015,P01997,91,62,2024-12-03
WH019,P00393,336,119,2022-05-03
WH003,P00934,370,112,2023-04-26
WH007,P00407,178,99,2023-10-30
WH005,P00241,392,250,2023-02-14
WH018,P01553,356,94,2022-02-09
WH014,P00738,337,178,2023-10-14
WH008,P01939,259,194,2024-06-11
WH014,P00887,196,87,2022-10-05
WH003,P00109,111,87,2022-05-31
WH003,P00741,500,363,2023-09-14
WH017,P00094,370,217,2022-07-14
WH005,P01652,360,141,2024-09-29
WH017,P01260,245,188,2023-11-18
WH010,P00781,355,245,2022-04-13
WH015,P00098,447,251,2022-07-24
