product_id,product_name,category,brand,unit_price,stock_quantity
P00001,Philips Although Home-194,Home & Kitchen,Philips,148.31,2604
P00002,Reebok Pattern Beau-287,Beauty,Reebok,386.32,765
P00003,Samsung Republican Book-792,Books,Samsung,1113.28,1750
P00004,Zara Indeed Groc-907,Groceries,Zara,95.89,4298
P00005,H&M By Toys-661,Toys,H&M,44.98,4192
P00006,Penguin Answer Spor-639,Sports,Penguin,1078.81,3024
P00007,Apple Suddenly Book-760,Books,Apple,1421.32,1838
P00008,L'Oreal Course Toys-428,Toys,L'Oreal,398.04,4602
P00009,Penguin Sort Groc-883,Groceries,Penguin,921.32,4705
P00010,L'Oreal Daughter Groc-236,Groceries,L'Oreal,527.4,2395
P00011,Dyson Low Home-694,Home & Kitchen,Dyson,973.72,473
P00012,Adidas Course Beau-493,Beauty,Adidas,797.63,3911
P00013,Lego Lay Book-627,Books,Lego,387.44,4052
P00014,Samsung Focus Book-926,Books,Samsung,1040.7,3711
P00015,Philips Door Toys-921,Toys,Philips,724.4,1485
P00016,Adidas Represent Book-158,Books,Adidas,1140.25,876
P00017,Apple Consumer Book-105,Books,Apple,817.27,3310
P00018,Apple Art Groc-790,Groceries,Apple,1167.69,4877
P00019,Penguin Himself Beau-210,Beauty,Penguin,165.73,4935
P00020,Dyson Mr Spor-976,Sports,Dyson,242.32,2321
P00021,Nestle Success Toys-172,Toys,Nestle,970.32,4609
P00022,Nestle Impact Home-444,Home & Kitchen,Nestle,260.75,3597
P00023,Samsung Out Clot-998,Clothing,Samsung,17.61,1203
P00024,H&M Others Book-727,Books,H&M,962.73,1560
P00025,Nike Leg Book-920,Books,Nike,1150.72,3980
P00026,Nestle Cold Book-156,Books,Nestle,552.51,1483
P00027,Zara War Elec-835,Electronics,Zara,372.29,625
P00028,Dyson Example Spor-746,Sports,Dyson,35.09,2363
P00029,Reebok Which Beau-517,Beauty,Reebok,414.01,887
P00030,IKEA Him Groc-827,Groceries,IKEA,848.75,2367
P00031,Dyson Pressure Clot-158,Clothing,Dyson,320.92,4039
P00032,Apple Manager Book-114,Books,Apple,584.46,1819
P00033,Sony Body Home-847,Home & Kitchen,Sony,1159.16,4295
P00034,Samsung Red Beau-172,Beauty,Samsung,1440.61,3736
P00035,H&M Three Clot-294,Clothing,H&M,1327.54,2035
P00036,Samsung Soldier Groc-733,Groceries,Samsung,692.55,4333
P00037,Lego Race Beau-953,Beauty,Lego,691.0,467
P00038,Nestle Himself Groc-918,Groceries,Nestle,1048.56,3897
P00039,Dyson High Spor-208,Sports,Dyson,1462.17,4678
P00040,Nestle Who Home-453,Home & Kitchen,Nestle,916.37,4016
P00041,Lego Rest Beau-148,Beauty,Lego,131.07,132
P00042,Dyson Life Toys-723,Toys,Dyson,1368.58,3625
P00043,L'Oreal Prepare Groc-152,Groceries,L'Oreal,7.41,3784
P00044,Nike Deal Elec-625,Electronics,Nike,327.03,3034
P00045,Lego Close Toys-861,Toys,Lego,1300.48,4457
P00046,Lego Special Elec-196,Electronics,Lego,9.82,2774
P00047,Reebok Under Spor-564,Sports,Reebok,66.31,4092
P00048,H&M Middle Elec-121,Electronics,H&M,154.84,1226
P00049,IKEA Manage Home-842,Home & Kitchen,IKEA,179.48,3242
P00050,H&M Account Spor-728,Sports,H&M,67.54,784
P00051,Nike By Elec-952,Electronics,Nike,119.59,4473
P00052,Sony Business Clot-487,Clothing,Sony,851.6,2200
P00053,Samsung Responsibility Clot-901,Clothing,Samsung,576.12,3794
P00054,Zara Government Toys-630,Toys,Zara,1351.98,530
P00055,H&M Foot Elec-212,Electronics,H&M,426.0,2497
P00056,Nike Resource Clot-910,Clothing,Nike,1205.89,3486
P00057,H&M Present Spor-283,Sports,H&M,840.16,1243
P00058,Nike Big Book-681,Books,Nike,574.79,1106
P00059,Apple These Book-746,Books,Apple,582.28,3544
P00060,IKEA Man Groc-211,Groceries,IKEA,99.05,3970
P00061,H&M Require Elec-901,Electronics,H&M,238.11,2676
P00062,H&M Money Beau-408,Beauty,H&M,1181.1,4874
P00063,Penguin Describe Toys-434,Toys,Penguin,58.86,1286
P00064,Philips Process Beau-856,Beauty,Philips,239.23,685
P00065,Philips System Home-433,Home & Kitchen,Philips,1251.57,2157
P00066,Penguin Cover Elec-812,Electronics,Penguin,702.56,2828
P00067,Samsung Show Book-274,Books,Samsung,445.12,2063
P00068,Lego Think Home-320,Home & Kitchen,Lego,371.43,3070
P00069,Adidas To Home-218,Home & Kitchen,Adidas,990.89,2624
P00070,Apple Job Beau-553,Beauty,Apple,749.11,1023
P00071,IKEA Above Spor-102,Sports,IKEA,236.07,3281
P00072,Sony Technology Clot-311,Clothing,Sony,925.33,1067
P00073,Adidas Peace Elec-208,Electronics,Adidas,1168.32,3402
P00074,Lego Language Groc-951,Groceries,Lego,1099.39,3786
P00075,L'Oreal Movie Beau-630,Beauty,L'Oreal,1327.19,1457
P00076,Apple Grow Groc-111,Groceries,Apple,750.99,1599
P00077,Samsung Investment Elec-954,Electronics,Samsung,1348.23,3542
P00078,Samsung Movie Spor-814,Sports,Samsung,870.01,3167
P00079,Lego Old Toys-987,Toys,Lego,676.41,3579
P00080,Zara Rise Home-487,Home & Kitchen,Zara,52.3,1283
P00081,Dyson North Toys-419,Toys,Dyson,1267.28,4900
P00082,Philips Trip Clot-752,Clothing,Philips,67.13,4036
P00083,Lego Put Clot-404,Clothing,Lego,1233.49,4877
P00084,H&M Right Book-363,Books,H&M,1481.19,2627
P00085,Sony Oil Beau-411,Beauty,Sony,1364.37,2819
P00086,Nestle Kitchen Groc-834,Groceries,Nestle,1420.14,2008
P00087,Nike Somebody Groc-452,Groceries,Nike,300.28,1370
P00088,Apple At Groc-864,Groceries,Apple,875.1,1429
P00089,Reebok Already Groc-320,Groceries,Reebok,223.29,1421
P00090,Reebok Without Groc-486,Groceries,Reebok,642.23,2624
P00091,Reebok Something Beau-851,Beauty,Reebok,803.76,2371
P00092,Nestle Need Home-981,Home & Kitchen,Nestle,461.14,4866
P00093,Lego Gun Beau-805,Beauty,Lego,461.49,2253
P00094,Adidas Report Elec-847,Electronics,Adidas,49.94,228
P00095,Dyson Point Home-202,Home & Kitchen,Dyson,1275.43,1914
P00096,Lego Matter Toys-434,Toys,Lego,1136.41,4615
P00097,Penguin Deep Beau-306,Beauty,Penguin,833.41,4531
P00098,Adidas Year Home-239,Home & Kitchen,Adidas,1470.42,2503
P00099,Sony Hand Book-350,Books,Sony,331.44,3175
P00100,Apple Month Toys-928,Toys,Apple,247.05,1085
P00101,H&M Human Toys-473,Toys,H&M,1156.69,3019
P00102,Zara Measure Beau-749,Beauty,Zara,227.38,43
P00103,H&M Training Spor-816,Sports,H&M,924.04,5
P00104,Adidas Themselves Clot-338,Clothing,Adidas,1215.16,3823
P00105,Nike Television Toys-911,Toys,Nike,919.17,2993
P00106,Nestle Wife Groc-108,Groceries,Nestle,153.44,2545
P00107,Nike Then Clot-180,Clothing,Nike,537.41,4328
P00108,Dyson Perhaps Clot-489,Clothing,Dyson,1257.39,1735
P00109,Penguin Finally Clot-349,Clothing,Penguin,916.27,1314
P00110,Nike Themselves Clot-466,Clothing,Nike,820.3,3317
P00111,Samsung Difference Book-690,Books,Samsung,1164.78,3083
P00112,Philips Same Spor-714,Sports,Philips,675.48,2984
P00113,Penguin Whole Elec-549,Electronics,Penguin,1231.3,4960
P00114,Nike Day Home-992,Home & Kitchen,Nike,1204.7,527
P00115,Dyson Top Elec-718,Electronics,Dyson,837.2,757
P00116,Samsung Item Elec-759,Electronics,Samsung,869.47,2169
P00117,Adidas Eye Beau-115,Beauty,Adidas,58.05,3763
P00118,Adidas Expert Groc-241,Groceries,Adidas,1126.26,3072
P00119,Lego Use Book-679,Books,Lego,437.2,3657
P00120,Dyson Model Toys-293,Toys,Dyson,832.64,4310
P00121,Lego Approach Home-984,Home & Kitchen,Lego,300.51,1351
P00122,Reebok Concern Toys-555,Toys,Reebok,628.68,1854
P00123,Nike Idea Clot-416,Clothing,Nike,373.48,503
P00124,Penguin Deep Groc-334,Groceries,Penguin,1290.01,4120
P00125,Nike Citizen Groc-382,Groceries,Nike,167.61,1523
P00126,Sony Might Toys-398,Toys,Sony,205.36,1808
P00127,Reebok Individual Elec-485,Electronics,Reebok,1007.03,2107
P00128,Philips Those Toys-214,Toys,Philips,425.52,1628
P00129,H&M Mind Spor-845,Sports,H&M,761.85,518
P00130,Nestle Really Toys-407,Toys,Nestle,1064.46,1100
P00131,Philips Language Book-418,Books,Philips,1308.74,2914
P00132,Dyson Value Beau-585,Beauty,Dyson,393.04,4568
P00133,Nestle Suffer Beau-998,Beauty,Nestle,507.38,4163
P00134,Reebok Southern Groc-943,Groceries,Reebok,247.08,2500
P00135,H&M Two Book-721,Books,H&M,690.07,4619
P00136,IKEA Have Home-916,Home & Kitchen,IKEA,435.15,2824
P00137,Samsung Phone Beau-845,Beauty,Samsung,978.58,2290
P00138,Nike Indeed Home-121,Home & Kitchen,Nike,19.08,2459
P00139,Nike System Toys-212,Toys,Nike,1142.79,3876
